中文,EN
額狀面 / 冠狀面,Frontal / Coronal Plane
矢狀面,Sagittal Plane
水平面 / 橫切面,Transverse / Horizontal Plane
近端,Proximal
遠端,Distal
滑液關節,Synovial Joint
纖維關節,Fibrous Joint
軟骨關節,Cartilaginous Joint
球窩關節,Ball-and-socket Joint
屈戍關節,Hinge Joint
車軸關節,Pivot Joint
平面關節,Gliding (Plane) Joint
斜方肌,Trapezius
提肩胛肌,Levator Scapulae
大菱形肌,Rhomboid Major
小菱形肌,Rhomboid Minor
鎖骨下肌,Subclavius
前鋸肌,Serratus Anterior
胸小肌,Pectoralis Minor
三角肌,Deltoid
胸大肌,Pectoralis Major
喙肱肌,Coracobrachialis
闊背肌,Latissimus Dorsi
大圓肌,Teres Major
小圓肌,Teres Minor
棘上肌,Supraspinatus
棘下肌,Infraspinatus
肩胛下肌,Subscapularis
肱二頭肌,Biceps Brachii
肱三頭肌,Triceps Brachii
肘肌,Anconeus
肱橈肌,Brachioradialis
肱肌,Brachialis
旋後肌,Supinator
旋前圓肌,Pronator Teres
頸長肌,Longus Colli
頭長肌,Longus Capitis
頭前直肌,Rectus Capitis Anterior
頭外直肌,Rectus Capitis Lateralis
頭後大直肌,Rectus Capitis Posterior Major
頭後小直肌,Rectus Capitis Posterior Minor
頭上斜肌,Obliquus Capitis Superior
頭下斜肌,Obliquus Capitis Inferior
橫突間肌,Intertransversarii
迴旋長肌,Rotatores Longus
迴旋短肌,Rotatores Brevis
多裂肌,Multifidus
半棘肌 胸部,Semispinalis Thoracis
半棘肌 頸部,Semispinalis Cervicis
半棘肌 頭部,Semispinalis Capitis
髂肋肌 腰部,Iliocostalis Lumborum
髂肋肌 胸部,Iliocostalis Thoracis
髂肋肌 頸部,Iliocostalis Cervicis
頸最長肌,Longissimus Cervicis
頭最長肌,Longissimus Capitis
棘肌 胸部,Spinalis Thoracis
棘肌 頸部,Spinalis Cervicis
頭夾肌,Splenius Capitis
頸夾肌,Splenius Cervicis
腰方肌,Quadratus Lumborum
斜角肌,Scalenes
胸鎖乳突肌,Sternocleidomastoid
腹直肌,Rectus Abdominis
腹外斜肌,External Oblique
腹內斜肌,Internal Oblique
腹橫肌,Transversus Abdominis
錐狀肌,Pyramidalis
橫膈膜,Diaphragm
肋外間肌,External Intercostals
肋內間肌,Internal Intercostals
肋提肌 長肌,Levatores Costarum Longis
肋提肌 短肌,Levatores Costarum Breves
後上鋸肌,Serratus Posterior Superior
腰大肌,Psoas Major
腰小肌,Psoas Minor
髂肌,Iliacus
臀大肌,Gluteus Maximus
臀中肌,Gluteus Medius
臀小肌,Gluteus Minimus
闊筋膜張肌,Tensor Fasciae Latae
恥骨肌,Pectineus
內收大肌,Adductor Magnus
內收短肌,Adductor Brevis
內收長肌,Adductor Longus
股薄肌,Gracilis
閉孔外肌,Obturator Externus
閉孔內肌,Obturator Internus
上孖肌,Gemellus Superior
下孖肌,Gemellus Inferior
股方肌,Quadratus Femoris
梨狀肌,Piriformis
股直肌,Rectus Femoris
股內側肌,Vastus Medialis
股中間肌,Vastus Intermedius
股外側肌,Vastus Lateralis
股二頭肌,Biceps Femoris
縫匠肌,Sartorius
半腱肌,Semitendinosus
半膜肌,Semimembranosus
膕肌,Popliteus
比目魚肌,Soleus
腓腸肌,Gastrocnemius
蹠肌,Plantaris
脛前肌,Tibialis Anterior
脛後肌,Tibialis Posterior
伸拇長肌,Extensor Hallucis Longus
伸趾長肌,Extensor Digitorum Longus
第三腓骨肌,Peroneus Tertius
腓骨長肌,Peroneus Longus
腓骨短肌,Peroneus Brevis
屈拇長肌,Flexor Hallucis Longus
屈趾長肌,Flexor Digitorum Longus
