中文,EN
下卷木桿動作系列,ROLL-DOWN BAR
引頸前伸,NECK PULL
後卷加背部伸展,ROLL-DOWN WITH BACK EXTENSION
有節奏的旋轉,TWIST WITH PULSES
手臂動作練習,PORT DE BRAS
側彎練習,SIDE BEND
轉遍世界,TWIST AROUND THE WORLD
大腿伸展,THIGH STRETCH
飛翔動作,AIRPLANE
下卷木杆站姿,ROLL-DOWN BAR STANDING
肱三頭肌弓部練習,TRICEPS LUNGE
鞦韆動作,TRAPEZE
芭蕾伸展站姿,BALLET STRETCHES STANDING
展翅雄鷹,SPREAD EAGLE
上拉,PULL UP
反向上拉,REVERSE PULL UP
跨步,WALKOVER
空中剪刀式,SCISSORS IN AIR
空中腳踏車式動作,BICYCLE IN AIR
卷曲到屈曲和伸展,TUCK INTO FLEXION & EXTENSION
推拉框上面彈簧動作,PUSH-THRU BAR WITH SPRINGS FROM ABOVE
起坐復合練習,SIT-UP COMBO
平行伸展系列練習,TEASER SERIES
雙腳推拉練習,PUSH-THRU WITH FEET
貓背,CAT
俯臥推拉加後背伸展,PUSH-THRU ON STOMACH BACK EXTENDED
旋轉美人魚姿,MERMAID WITH ROTATION
側體扭轉,SIDE BODY TWIST
仰臥推拉加伸展,PUSH-THRU ON BACK WITH EXTENSION
橋式練習,BRIDGE
掛在立柱,HANGING FROM UPRIGHTS
展翅雄鷹,SPREAD EAGLE
水平槓垂掛,HANGING FROM HORIZONTALS
膝部上提,KENN RAISES
膝部上提加側旋轉,KENN RAISES WITH OBLIQUES
畫弧,CIRCLES
拍擊,BEATS
推拉框下面彈簧動作,PUSH-THRU BAR WITH SPRINGS FROM BELOW
猴姿,MONKEY
斷頭台,GUILLOTINE
髖部伸展,HIP OPENER
平行伸展系列,TEASER SERIES
臂用彈簧動作,ARM SPRINGS
後划,BACK ROWING
前划,FRONT ROWING
飛鷹姿(以腿用彈簧完成),FLYING EAGLE WITH LEG SPRINGS
臂用彈簧站姿動作,ARM SPRINGS STANDING
側轉站姿,SIDE TWIST STANDING
反向擴張,REVERSE EXPANSION
雙手上托,OFFERING
抱大樹,HUG A TREE
蝴蝶姿,BUTTERFLY
擊拳動作,PUNCHES
擊劍者弓步,FENCER LUNGES
下蹲練習,SQUATS
腿用彈簧動作,LEG SPRINGS
拍擊,BEATS
脊椎卷曲,SHORT SPINE
脊椎伸展,LONG SPINE
魔術師畫弧,MAGICIAN CIRCLES
魔術師拍擊,MAGICIAN BEATS
魔術師踏步,MAGICIAN WALKS
腿用彈簧側躺練習,LEG SPRINGS SIDE-LYING
剪刀式,SCISSORS
橢圓,OVALS
側踢伸展,SIDE KICK STRETCH
繃緊伸展,DEVELOPE
腿轉圈,ROND DE JAMBE
毛絨掛帶動作,FUZZY HANGING STRAPS
芭蕾伸展,BALLET STRETCHES
展翅雄鷹,SPREAD EAGLE
腹肌卷曲,ABDOMINAL CURLS
半懸掛姿勢,HALF HANG
完全體掛姿勢,FULL HANG
