中文,EN
腰椎下沈與放鬆,IMPRINT & RELEASE
髖部放鬆,HIP RELEASE
脊椎旋轉,SPINAL ROTATION
貓背伸展,CAT STRETCH
髖部起伏,HIP ROLLS
肩胛滑動,SCAPULA ISOLATION
手臂畫弧,ARM CIRCLES
點頭動作,HEAD NODS
肩胛骨上提與下沈,ELEVATION & DEPRESSION OF SCAPULAE
腹肌準備動作,AB PREP
蛙泳式練習準備動作,BREAST STROKE PREPS
貝殼式伸展,SHELL STRETCH
百次拍擊,HUNDRED
半程後滾,HALF ROLL BACK
卷曲上提,ROLL UP
單腿畫圈,ONE LEG CIRCLE
脊椎扭轉,SPINE TWIST
求式滾動,ROLLING LIKE A BALL
單腿伸展,SINGLE LEG STRETCH
側斜,OBLIQUES
雙腿緩慢伸展,SLOW DOUBLE LEG STRETCH
雙腿伸展,DOUBLE STRETCH
剪刀式,SCISSORS
肩橋,SHOULDER BRIDGE
反向卷腹,ROLL OVER
雙踵靠擠,HEEL SQUEEZE PRONE
單腿上踢,ONE LEG KICK
蛙泳式練習,BREAST STROKE
踞式,SAW
分腿滾動,OPEN LEG ROCKER
引頸前伸,NECK PULL
側斜後滾,OBLIQUES ROLL BACK
一柱擎天,JACK KNIFE
側踢,SIDE KICK
側抬腿系列練習,SIDE LEG LIFT SERIES
空中剪刀式,SCISSORS IN AIR
空中腳踏車式動作,BICYCLE IN AIR
雙腿踢式,DOUBLE LEG KICK
脊椎前伸,SPINE STRETCH FORWARD
平行伸展系列練習,TEASER SERIES
單腿伸抬,SINGLE LEG EXTENSION
天鵝潛水,SWAN DIVE
泳式練習,SWIMMING
單腿前拉,LEG PULL FRONT
腿部提拉,LEG PULL
髖部扭轉,HIP TWIST
控制平衡,CONREOL BALANCE
空中螺旋,CORKSCREW
跪姿側踢,SIDE KICK KENNLING
海豹拍鰭,SEAL
側彎,SIDE BEND
扭轉,TWIST
弓形搖擺,ROCKING
回力棒,BOOMERANG
俯臥撐,PUSH UP
