中文,EN
配合呼吸前屈,BREATHING FORWARD
配合呼吸側屈,BREATHING SIDE
肩胛孤立練習,SCAPULA ISOLATION
雙臂剪交式,ARM SCISSORS
手臂畫弧,ARM CIRCLES
坐姿,SITTING
側彎,SIDE BEND
旋轉加手臂動作練習,ROTATION WITH PORT DE BRAS
手臂動作,PORT DE BRAS
旋轉加屈曲,OBLIQUES WITH FLEXION
鶴姿旋轉,ROTATION WITH ATTITUDE
剪刀式,SCISSORS
腳踏車式,BICYCLE
放腿與拾腿,LOWER & LIFT
雙腿畫弧,LEG CIRCLES
髖部扭轉,HIP TWIST
倒立姿勢,INVERTED POSITIONS
剪刀式,SCISSORS
腳踏車式,BICYCLE
風車,WINDMILL
放腿與抬腿,LOWER & LIFT
蛙跳姿,FROG
側斜康康舞,OBLIQUE CAN-CANS
反向卷腹,ROLL OVER
肩橋,SHOULDER BRIDGE
拱背橋式,BACK ARCH & BRIDGE
俯臥,PRONE
單腿伸抬,SINGLE LEG EXTENSIONS
放腿與抬腿,LOWER & LIFT
雙腿畫弧,LEG CIRCLES
剪刀式,SCISSORS
拍擊,BEATS
天鵝潛水,SWAN DIVE
蚱蜢姿,GRASSHOPPER
泳式練習,SWIMMING
脊椎伸展,SPINAL EXTENSION
俯臥旋轉,ROTATION PRONE
側躺,SIDE-LYING
側抬腿,SIDE LEG LIFTS
剪刀式,SCISSORS
單肘伸曲練習,ONE ARM PRESS
雙手支撐,SUPPORTED ON HANDS
俯臥撐,PUSH UP
單腿前拉,LEG PULL FRONT
單腿提拉,LEG PULL
