中文,English
下肢?作,LEG WORK
腳部練習,FOOTWORK
單腿練習,SINGLE LEG
膕繩肌下壓練習-平躺,HAMSTRING PRESS HIPS DOWN
內收肌下壓,ADDUCTOR PRESS
腳踝練習,ANKLE EXERCISE
站立落踵與提蹲,LOWER & LIFT STANDING
長盒腳下壓,FOOT PRESS ON LONG BOX
交叉腿下壓練習,CROSSOVER PRESS
站立腿下壓練習,STANDING LEG PRESS
仰?蛙跳姿,FROG LYING FLAT
膕繩肌練習-髖部上提,HAMSTRING PRESS HIPS UP
前向上階,FORWARD STEP UP
前向下階,FORWARD STEP DOWN
側向下階,SIDE STEP DOWN
後向下階,BACKWARD STEP DOWN
側向上階,SIDE STEP UP
下肢動作加上肢承重,LEG WORK SUPPORTED BY ARMS
膝部上提,KNEE RAISES
膝部上提加側旋轉,KNEE RAISES WITH OBLIQUES
雙腿畫弧,LEG CIRCLES
拍擊,BEATS
蛙跳姿-前向,FROG FRONT
蛙跳姿-後向,FROG BACK
蛙跳姿-後向加?上提,FROG BACK HIPS UP
側腿上抬,SIDE LEG EXTENSION
手臂練習,ARM WORK
俯?肩胛骨孤立練習,SCAPULA ISOLATION PRONE
俯??臂下?練習,ONE ARM PUSH PRONE
肱三頭肌下壓坐姿練習,TRICEPS PRESS SITTING
站立肩胛骨孤立練習,SCAPULA ISOLATION STANDING
肱三頭肌下壓站姿練習,TRICEPS PRESS STANDING
跪姿?臂練習,ONE ARM PREP HAND ON FLOOR
地面俯??單臂練習,ONE ARM PUSH HAND ON FLOOR
椅上俯??單臂練習,ONE ARM PUSH HAND ON CHAIR
軀干屈曲,TORSO FLEXION
坐姿腹肌練習,AB PRESS SITTING
?背前站姿,CAT STANDING FRONT
軀干下壓坐姿準備動作,TORSO PRESS SITTING PREP
長矛式坐姿,PIKE ON FLOOR
?背跪姿,CAT KNEELING
?背側站姿,CAT STANDING SIDE
?背後站姿,CAT STANDING BACK
反向卷腹,ROLL OVER
一柱擎天,JACK KNIFE
軀干下壓坐姿動作,TORSO PRESS SITTING
騎馬姿,HORSEBACK
肌腱伸展,TENDON STRETCH
大象姿,ELEPHANT
手倒立,HANDSTAND
軀干伸展,TORSO EXTENSION
天鵝潛水 - 地面,SWAN DIVE FROM FLOOR
天鵝潛水準備動作,SWAN DIVE PREP
天鵝潛水,SWAN DIVE
蚱蜢姿,GRASSHOPPER
軀干屈曲和伸展,TORSO FLEXION & EXTENSION
展翅雄鷹,SPREAD EAGLE
軀干側屈,TORSO LATERAL FLEXION
美人魚姿,MERMAID
美人魚跪姿,MERMAID KNEELING
側彎,SIDE BEND
軀干旋轉,TORSO ROTATION
俯?旋轉,ROTATION PRONE
傾斜,LEAN
側體扭?,SIDE BODY TWIST
扭轉,TWIST
